seqname	start	end	strand	name	display_name	note
chrV	208976	210229	-	GAL83	<GAL83<	One of three possible beta-subunits of the Snf1 kinase complex%2C allows nuclear localization of the Snf1 kinase complex in the presence of a nonfermentable carbon source%3B contains glycogen-binding domain
chrV	210689	211873	-	MIG3	<MIG3<	Probable transcriptional repressor involved in response to toxic agents such as hydroxyurea that inhibit ribonucleotide reductase%3B phosphorylation by Snf1p or the Mec1p pathway inactivates Mig3p%2C allowing induction of damage response genes
chrV	212584	213174	-	SMB1	<SMB1<	Core Sm protein Sm B%3B part of heteroheptameric complex (with Smd1p%2C Smd2p%2C Smd3p%2C Sme1p%2C Smx3p%2C and Smx2p) that is part of the spliceosomal U1%2C U2%2C U4%2C and U5 snRNPs%3B homolog of human Sm B and Sm B'
chrV	213434	213895	+	CHZ1	>CHZ1>	Histone chaperone for Htz1p%2FH2A-H2B dimer%3B required for the stabilization of the Chz1p-Htz1-H2B complex%3B has overlapping function with Nap1p%3B null mutant displays weak sensitivity to MMS and benomyl%3B contains a highly conserved CHZ motif
chrV	214073	214744	-	YPT31	<YPT31<	Rab family GTPase%2C very similar to Ypt32p%3B involved in the exocytic pathway%3B mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi
chrV	215060	217690	+	FIR1	>FIR1>	Protein involved in 3' mRNA processing%2C interacts with Ref2p%3B potential Cdc28p substrate
chrV	218054	221284	-	ZRG8	<ZRG8<	Protein of unknown function%3B authentic%2C non-tagged protein is detected in highly purified mitochondria in high-throughput studies%3B GFP-fusion protein is localized to the cytoplasm%3B transcription induced under conditions of zinc deficiency
chrV	221843	222400	+	YER034W	>YER034W>	Putative protein of unknown function%3B non-essential gene%3B expression induced upon calcium shortage
chrV	222636	223073	+	EDC2	>EDC2>	RNA-binding protein%2C activates mRNA decapping directly by binding to the mRNA substrate and enhancing the activity of the decapping proteins Dcp1p and Dcp2p%3B has a role in translation during heat stress
chrV	223364	225196	-	ARB1	<ARB1<	ATPase of the ATP-binding cassette (ABC) family involved in 40S and 60S ribosome biogenesis%2C has similarity to Gcn20p%3B shuttles from nucleus to cytoplasm%2C physically interacts with Tif6p%2C Lsg1p
chrV	225886	226851	+	PHM8	>PHM8>	Lysophosphatidic acid (LPA) phosphatase involved in LPA hydrolysis in response to phosphate starvation%3B phosphatase activity is soluble and Mg2%2B dependent%3B expression is induced by low phosphate levels and by inactivation of Pho85p
chrV	226855	228249	-	KRE29	<KRE29<	Essential subunit of the Mms21-Smc5-Smc6 complex%2C required for growth and DNA repair%3B heterozygous mutant shows haploinsufficiency in K1 killer toxin resistance
chrV	228448	228828	+	YER038W-A	>YER038W-A>	Dubious open reading frame%2C unlikely to encode a protein%3B not conserved in closely related Saccharomyces species%3B 99%25 of ORF overlaps the verified gene HVG1%3B protein product detected in mitochondria
chrV	228453	229202	-	HVG1	<HVG1<	Protein of unknown function%2C has homology to Vrg4p
chrV	229260	229478	-	YER039C-A	<YER039C-A<	Putative protein of unknown function%3B YER039C-A is not an essential gene
chrV	229792	231984	+	GLN3	>GLN3>	Transcriptional activator of genes regulated by nitrogen catabolite repression (NCR)%2C localization and activity regulated by quality of nitrogen source
chrV	232458	234737	+	YEN1	>YEN1>	Holliday junction resolvase%3B localization is cell-cycle dependent and regulated by Cdc28p phosphorylation%3B homolog of human GEN1 and has similarity to S. cerevisiae endonuclease Rth1p
chrV	234934	235488	+	MXR1	>MXR1>	Methionine-S-sulfoxide reductase%2C involved in the response to oxidative stress%3B protects iron-sulfur clusters from oxidative inactivation along with MXR2%3B involved in the regulation of lifespan
chrV	235767	237116	-	SAH1	<SAH1<	S-adenosyl-L-homocysteine hydrolase%2C catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine (AdoMet) to an acceptor
chrV	237567	238013	-	ERG28	<ERG28<	Endoplasmic reticulum membrane protein%2C may facilitate protein-protein interactions between the Erg26p dehydrogenase and the Erg27p 3-ketoreductase and%2For tether these enzymes to the ER%2C also interacts with Erg6p
chrV	238457	239771	-	MEI4	<MEI4<	Meiosis-specific protein involved in double-strand break formation during meiotic recombination%3B required for chromosome synapsis and production of viable spores
chrV	240029	241498	-	ACA1	<ACA1<	Basic leucine zipper (bZIP) transcription factor of the ATF%2FCREB family%2C may regulate transcription of genes involved in utilization of non-optimal carbon sources
chrV	243177	243608	+	SPO73	>SPO73>	Meiosis-specific protein of unknown function%2C required for spore wall formation during sporulation%3B dispensible for both nuclear divisions during meiosis
chrV	243697	244026	+	YER046W-A	>YER046W-A>	Dubious open reading frame unlikely to encode a functional protein%2C based on available experimental and comparative sequence data
chrV	243807	246500	-	SAP1	<SAP1<	Putative ATPase of the AAA family%2C interacts with the Sin1p transcriptional repressor in the two-hybrid system
chrV	246979	248154	-	CAJ1	<CAJ1<	Nuclear type II J heat shock protein of the E. coli dnaJ family%2C contains a leucine zipper-like motif%2C binds to non-native substrates for presentation to Ssa3p%2C may function during protein translocation%2C assembly and disassembly
chrV	250715	250999	+	ISD11	>ISD11>	Protein required for mitochondrial iron-sulfur cluster biosynthesis
chrV	251725	253659	+	TPA1	>TPA1>	Poly(rA)-binding protein involved in translation termination efficiency%2C mRNA poly(A) tail length and mRNA stability%3B interacts with Sup45p (eRF1)%2C Sup35p (eRF3) and Pab1p%3B similar to prolyl 4-hydroxylases%3B binds Fe(III) and 2-oxoglutarate
chrV	253968	254384	-	RSM18	<RSM18<	Mitochondrial ribosomal protein of the small subunit%2C has similarity to E. coli S18 ribosomal protein
chrV	254653	256131	+	JHD1	>JHD1>	JmjC domain family histone demethylase specific for H3-K36%2C similar to proteins found in human%2C mouse%2C drosophila%2C X. laevis%2C C. elegans%2C and S. pombe
chrV	256372	257955	-	HOM3	<HOM3<	Aspartate kinase (L-aspartate 4-P-transferase)%3B cytoplasmic enzyme that catalyzes the first step in the common pathway for methionine and threonine biosynthesis%3B expression regulated by Gcn4p and the general control of amino acid synthesis
chrV	258734	259636	-	PIC2	<PIC2<	Mitochondrial phosphate carrier%2C imports inorganic phosphate into mitochondria%3B functionally redundant with Mir1p but less abundant than Mir1p under normal conditions%3B expression is induced at high temperature
chrV	260930	261043	-	YER053C-A	<YER053C-A<	Putative protein of unknown function%3B green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum
chrV	262049	263695	-	GIP2	<GIP2<	Putative regulatory subunit of the protein phosphatase Glc7p%2C involved in glycogen metabolism%3B contains a conserved motif (GVNK motif) that is also found in Gac1p%2C Pig1p%2C and Pig2p
chrV	264889	265782	-	HIS1	<HIS1<	ATP phosphoribosyltransferase%2C a hexameric enzyme%2C catalyzes the first step in histidine biosynthesis%3B mutations cause histidine auxotrophy and sensitivity to Cu%2C Co%2C and Ni salts%3B transcription is regulated by general amino acid control
chrV	266509	268110	-	FCY2	<FCY2<	Purine-cytosine permease%2C mediates purine (adenine%2C guanine%2C and hypoxanthine) and cytosine accumulation
chrV	269420	270182	-	RPL34A	<RPL34A<	Protein component of the large (60S) ribosomal subunit%2C nearly identical to Rpl34Bp and has similarity to rat L34 ribosomal protein
chrV	270734	271123	-	HMF1	<HMF1<	Member of the p14.5 protein family with similarity to Mmf1p%2C functionally complements Mmf1p function when targeted to mitochondria%3B heat shock inducible%3B high-dosage growth inhibitor%3B forms a homotrimer in vitro
chrV	271765	272088	+	PET117	>PET117>	Protein required for assembly of cytochrome c oxidase
chrV	272620	273882	+	PCL6	>PCL6>	Pho85p cyclin of the Pho80p subfamily%3B forms the major Glc8p kinase together with Pcl7p and Pho85p%3B involved in the control of glycogen storage by Pho85p%3B stabilized by Elongin C binding
chrV	274563	276149	+	FCY21	>FCY21>	Putative purine-cytosine permease%2C very similar to Fcy2p but cannot substitute for its function
chrV	276568	278160	+	FCY22	>FCY22>	Putative purine-cytosine permease%2C very similar to Fcy2p but cannot substitute for its function
chrV	278294	279622	-	CEM1	<CEM1<	Mitochondrial beta-keto-acyl synthase with possible role in fatty acid synthesis%3B required for mitochondrial respiration
chrV	279926	280678	-	HOR2	<HOR2<	One of two redundant DL-glycerol-3-phosphatases (RHR2%2FGPP1 encodes the other) involved in glycerol biosynthesis%3B induced in response to hyperosmotic stress and oxidative stress%2C and during the diauxic transition
chrV	281706	282362	+	THO1	>THO1>	Conserved nuclear RNA-binding protein%3B specifically binds to transcribed chromatin in a THO- and RNA-dependent manner%2C genetically interacts with shuttling hnRNP NAB2%3B overproduction suppresses transcriptional defect caused by hpr1 mutation
chrV	282701	284218	-	YER064C	<YER064C<	Non-essential nuclear protein%3B null mutation has global effects on transcription
chrV	285237	286910	-	ICL1	<ICL1<	Isocitrate lyase%2C catalyzes the formation of succinate and glyoxylate from isocitrate%2C a key reaction of the glyoxylate cycle%3B expression of ICL1 is induced by growth on ethanol and repressed by growth on glucose
chrV	290238	290795	+	RRT13	>RRT13>	Putative protein of unknown function%3B non-essential gene identified in a screen for mutants with decreased levels of rDNA transcription
chrV	291699	292199	-	YER066C-A	<YER066C-A<	Dubious open reading frame unlikely to encode a protein%2C partially overlaps uncharacterized ORF YER067W
chrV	292062	292547	+	RGI1	>RGI1>	Protein of unknown function involved in energy metabolism under respiratory conditions%3B protein abundance is increased upon intracellular iron depletion
chrV	292236	292559	-	YER067C-A	<YER067C-A<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B partially overlaps the uncharacterized ORF YER067W
chrV	293046	294809	+	MOT2	>MOT2>	Subunit of the CCR4-NOT complex%2C which has roles in transcription regulation%2C mRNA degradation%2C and post-transcriptional modifications%3B with Ubc4p%2C ubiquitinates nascent polypeptide-associated complex subunits and histone demethyase Jhd2p
chrV	295297	295728	-	YER068C-A	<YER068C-A<	Dubious open reading frame unlikely to encode a functional protein%2C based on available experimental and comparative sequence data
chrV	295406	297997	+	ARG5%2C6	>ARG5%2C6>	Protein that is processed in the mitochondrion to yield acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase%2C which catalyze the 2nd and 3rd steps in arginine biosynthesis%3B enzymes form a complex with Arg2p
chrV	298946	301612	+	RNR1	>RNR1>	Major isoform of the large subunit of ribonucleotide-diphosphate reductase%3B the RNR complex catalyzes rate-limiting step in dNTP synthesis%2C regulated by DNA replication and DNA damage checkpoint pathways via localization of small subunits
chrV	301943	302323	-	YER071C	<YER071C<	Protein of unknown function%3B green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
chrV	302802	303191	+	VTC1	>VTC1>	Subunit of the vacuolar transporter chaperone (VTC) complex involved in membrane trafficking%2C vacuolar polyphosphate accumulation%2C microautophagy and non-autophagic vacuolar fusion%3B also has mRNA binding activity
chrV	304026	305588	+	ALD5	>ALD5>	Mitochondrial aldehyde dehydrogenase%2C involved in regulation or biosynthesis of electron transport chain components and acetate formation%3B activated by K%2B%3B utilizes NADP%2B as the preferred coenzyme%3B constitutively expressed
chrV	306319	307192	+	RPS24A	>RPS24A>	Protein component of the small (40S) ribosomal subunit%3B identical to Rps24Bp and has similarity to rat S24 ribosomal protein
chrV	307649	308119	+	YOS1	>YOS1>	Integral membrane protein required for ER to Golgi transport%3B localized to the Golgi%2C the ER%2C and COPII vesicles%3B interacts with Yip1p and Yif1p
chrV	308409	311195	-	PTP3	<PTP3<	Phosphotyrosine-specific protein phosphatase involved in the inactivation of mitogen-activated protein kinase (MAPK) during osmolarity sensing%3B dephosporylates Hog1p MAPK and regulates its localization%3B localized to the cytoplasm
chrV	312586	313494	-	YER076C	<YER076C<	Putative protein of unknown function%3B the authentic%2C non-tagged protein is detected in highly purified mitochondria in high-throughput studies%3B analysis of HA-tagged protein suggests a membrane localization
chrV	313386	313733	+	YER076W-A	>YER076W-A>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B partially overlaps the uncharacterized ORF YER076C
chrV	314530	316596	-	YER077C	<YER077C<	Putative protein of unknown function%3B green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion%3B null mutation results in a decrease in plasma membrane electron transport
chrV	316803	318338	-	ICP55	<ICP55<	Mitochondrial aminopeptidase%3B cleaves the N termini of at least 38 imported proteins after cleavage by the mitochondrial processing peptidase (MPP)%2C thereby increasing their stability%3B member of the aminopeptidase P family
chrV	318642	318806	+	YER078W-A	>YER078W-A>	Putative protein of unknown function%3B identified by fungal homology and RT-PCR
chrV	318916	319548	+	YER079W	>YER079W>	Putative protein of unknown function
chrV	319898	320236	-	YER079C-A	<YER079C-A<	Dubious open reading frame unlikely to encode a protein%2C partially overlaps uncharacterized ORF YER080W
chrV	319959	321842	+	AIM9	>AIM9>	Putative protein of unknown function%3B the authentic%2C non-tagged protein is detected in highly purified mitochondria in high-throughput studies%3B null mutant displays elevated frequency of mitochondrial genome loss
chrV	322682	324091	+	SER3	>SER3>	3-phosphoglycerate dehydrogenase%2C catalyzes the first step in serine and glycine biosynthesis%3B isozyme of Ser33p
chrV	324268	325932	-	UTP7	<UTP7<	Nucleolar protein%2C component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA
chrV	326170	327027	-	GET2	<GET2<	Subunit of the GET complex%3B involved in insertion of proteins into the ER membrane%3B required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for meiotic nuclear division
chrV	327061	327447	+	YER084W	>YER084W>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrV	327594	328106	+	YER084W-A	>YER084W-A>	Dubious open reading frame unlikely to encode a functional protein%2C based on available experimental and comparative sequence data
chrV	327615	328136	-	YER085C	<YER085C<	Putative protein of unknown function
chrV	328473	330203	+	ILV1	>ILV1>	Threonine deaminase%2C catalyzes the first step in isoleucine biosynthesis%3B expression is under general amino acid control%3B ILV1 locus exhibits highly positioned nucleosomes whose organization is independent of known ILV1 regulation
chrV	330572	332302	+	AIM10	>AIM10>	Protein with similarity to tRNA synthetases%3B non-tagged protein is detected in purified mitochondria%3B null mutant is viable and displays elevated frequency of mitochondrial genome loss
chrV	331813	332364	-	YER087C-A	<YER087C-A<	Dubious open reading frame unlikely to encode a protein%2C based on experimental and comparative sequence data%3B overlaps the uncharacterized gene YER087W%2C a putative tRNA synthetase
chrV	332578	332826	-	SBH1	<SBH1<	Beta subunit of the Sec61p ER translocation complex (Sec61p-Sss1p-Sbh1p)%3B involved in protein translocation into the endoplasmic reticulum%3B interacts with the exocyst complex and also with Rtn1p%3B homologous to Sbh2p
chrV	333172	335184	-	DOT6	<DOT6<	Protein involved in rRNA and ribosome biogenesis%3B binds polymerase A and C motif%3B subunit of the RPD3L histone deacetylase complex%3B similar to Tod6p%3B has chromatin specific SANT domain%3B involved in telomeric gene silencing and filamentation
chrV	335692	336015	-	YER088C-A	<YER088C-A<	Dubious open reading frame unlikely to encode a functional protein%2C based on available experimental and comparative sequence data
chrV	335923	336069	+	YER088W-B	>YER088W-B>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B partially overlaps the ORF PTC2%2FYER089C%3B identified by gene-trapping%2C expression analysis%2C and homology searching
chrV	335942	337336	-	PTC2	<PTC2<	Type 2C protein phosphatase (PP2C)%3B dephosphorylates Hog1p to limit maximal osmostress induced kinase activity%3B dephosphorylates Ire1p to downregulate the unfolded protein response%3B dephosphorylates Cdc28p%3B inactivates the DNA checkpoint
chrV	337945	339468	+	TRP2	>TRP2>	Anthranilate synthase%2C catalyzes the initial step of tryptophan biosynthesis%2C forms multifunctional hetero-oligomeric anthranilate synthase%3Aindole-3-glycerol phosphate synthase enzyme complex with Trp3p
chrV	338318	338407	-	YER090C-A	<YER090C-A<	Dubious open reading frame unlikely to encode a functional protein%2C based on available experimental and comparative sequence data
chrV	339860	342163	-	MET6	<MET6<	Cobalamin-independent methionine synthase%2C involved in methionine biosynthesis and regeneration%3B requires a minimum of two glutamates on the methyltetrahydrofolate substrate%2C similar to bacterial metE homologs
chrV	342386	342607	-	YER091C-A	<YER091C-A<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data
chrV	342851	343228	+	IES5	>IES5>	Protein that associates with the INO80 chromatin remodeling complex under low-salt conditions
chrV	343316	347608	-	TSC11	<TSC11<	Subunit of TORC2 (Tor2p-Lst8p-Avo1-Avo2-Tsc11p-Bit61p)%2C a membrane-associated complex that regulates actin cytoskeletal dynamics during polarized growth and cell wall integrity%3B involved in sphingolipid metabolism%3B contains a RasGEFN domain
chrV	347908	348396	-	AIM11	<AIM11<	Protein of unknown function%3B null mutant is viable but shows increased loss of mitochondrial genome and synthetic interaction with prohibitin (phb1)%3B contains an intron
chrV	348725	349342	-	PUP3	<PUP3<	Beta 3 subunit of the 20S proteasome involved in ubiquitin-dependent catabolism%3B human homolog is subunit C10
chrV	349976	351178	+	RAD51	>RAD51>	Strand exchange protein%2C forms a helical filament with DNA that searches for homology%3B involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis%3B homolog of Dmc1p and bacterial RecA protein
chrV	351694	353232	+	SHC1	>SHC1>	Sporulation-specific activator of Chs3p (chitin synthase III)%2C required for the synthesis of the chitosan layer of ascospores%3B has similarity to Skt5p%2C which activates Chs3p during vegetative growth%3B transcriptionally induced at alkaline pH
chrV	355136	355465	+	YER097W	>YER097W>	Dubious open reading frame unlikely to encode a functional protein%2C based on available experimental and comparative sequence data
chrV	355462	357726	+	UBP9	>UBP9>	Ubiquitin carboxyl-terminal hydrolase%2C ubiquitin-specific protease that cleaves ubiquitin-protein fusions
chrV	358101	359057	-	PRS2	<PRS2<	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase%2C synthesizes PRPP%2C which is required for nucleotide%2C histidine%2C and tryptophan biosynthesis%3B one of five related enzymes%2C which are active as heteromultimeric complexes
chrV	359558	360310	+	UBC6	>UBC6>	Ubiquitin-conjugating enzyme involved in ER-associated protein degradation%3B located at the cytosolic side of the ER membrane%3B tail region contains a transmembrane segment at the C-terminus%3B substrate of the ubiquitin-proteasome pathway
chrV	360498	361790	-	AST2	<AST2<	Protein that may have a role in targeting of plasma membrane %5BH%2B%5DATPase (Pma1p) to the plasma membrane%2C as suggested by analysis of genetic interactions
chrV	362729	363698	+	RPS8B	>RPS8B>	Protein component of the small (40S) ribosomal subunit%3B identical to Rps8Ap and has similarity to rat S8 ribosomal protein
chrV	364585	366513	+	SSA4	>SSA4>	Heat shock protein that is highly induced upon stress%3B plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation%3B member of the HSP70 family%3B cytoplasmic protein that concentrates in nuclei upon starvation
chrV	366798	367424	+	RTT105	>RTT105>	Protein with a role in regulation of Ty1 transposition
chrV	367834	372009	-	NUP157	<NUP157<	Abundant subunit of the nuclear pore complex (NPC)%2C present on both sides of the NPC%3B has similarity to Nup170p%3B essential role%2C with Nup170p%2C in NPC assembly
chrV	372322	373230	+	MAM1	>MAM1>	Monopolin%2C kinetochore associated protein involved in chromosome attachment to meiotic spindle
chrV	373444	374541	-	GLE2	<GLE2<	Component of the Nup82 subcomplex of the nuclear pore complex%3B required for polyadenylated RNA export but not for protein import%3B homologous to S. pombe Rae1p
chrV	374390	374710	+	YER107W-A	>YER107W-A>	Dubious open reading frame unlikely to encode a protein%2C partially overlaps verified ORF GLE2%2FYER107C
chrV	375211	377610	-	FLO8	<FLO8<	Transcription factor required for flocculation%2C diploid filamentous growth%2C and haploid invasive growth%3B genome reference strain S288C and most laboratory strains have a mutation in this gene
chrV	378758	382099	-	KAP123	<KAP123<	Karyopherin beta%2C mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4%3B localizes to the nuclear pore%2C nucleus%2C and cytoplasm%3B exhibits genetic interactions with RAI1
chrV	382591	385872	-	SWI4	<SWI4<	DNA binding component of the SBF complex (Swi4p-Swi6p)%2C a transcriptional activator that in concert with MBF (Mbp1-Swi6p) regulates late G1-specific transcription of targets including cyclins and genes required for DNA synthesis and repair
chrV	387228	387791	+	LSM4	>LSM4>	Lsm (Like Sm) protein%3B part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p)%3A cytoplasmic Lsm1p complex involved in mRNA decay%3B nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA%2C snoRNA%2C and rRNA
chrV	387928	390048	-	TMN3	<TMN3<	Protein with a role in cellular adhesion and filamentous growth%3B similar to Emp70p and Tmn2p%3B member of Transmembrane Nine family with 9 transmembrane segments%3B localizes to Golgi%3B induced by 8-methoxypsoralen plus UVA irradiation
chrV	390586	393708	-	BOI2	<BOI2<	Protein implicated in polar growth%2C functionally redundant with Boi1p%3B interacts with bud-emergence protein Bem1p%3B contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain
chrV	394288	394863	-	SPR6	<SPR6<	Protein of unknown function%2C expressed during sporulation%3B not required for sporulation%2C but gene exhibits genetic interactions with other genes required for sporulation
chrV	395344	396168	-	SLX8	<SLX8<	Subunit of the Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex%3B stimulated by prior attachment of SUMO to the substrate%3B contains a C-terminal RING domain
chrV	396765	397649	+	RPL23B	>RPL23B>	Protein component of the large (60S) ribosomal subunit%2C identical to Rpl23Ap and has similarity to E. coli L14 and rat L23 ribosomal proteins
chrV	397948	399051	-	SHO1	<SHO1<	Transmembrane osmosensor%2C participates in activation of both the Cdc42p- and MAP kinase-dependent filamentous growth pathway and the high-osmolarity glycerol response pathway
chrV	399492	400838	-	AVT6	<AVT6<	Vacuolar aspartate and glutamate exporter%3B member of a family of seven genes (AVT1-7) related to vesicular GABA-glycine transporters%3B involved in compartmentalizing acidic amino acids in response to nitrogen starvation
chrV	400863	401233	-	YER119C-A	<YER119C-A<	Dubious open reading frame%2C not conserved in closely related Saccharomyces species%3B deletion mutation blocks replication of Brome mosaic virus in S. cerevisiae%2C but this is likely due to effects on the overlapping gene SCS2
chrV	401130	401864	+	SCS2	>SCS2>	Integral ER membrane protein that regulates phospholipid metabolism via an interaction with the FFAT motif of Opi1p%2C also involved in telomeric silencing%2C disruption causes inositol auxotrophy above 34 degrees C%2C VAP homolog
chrV	402370	402714	+	YER121W	>YER121W>	Putative protein of unknown function%3B may be involved in phosphatase regulation and%2For generation of precursor metabolites and energy
chrV	402866	404347	-	GLO3	<GLO3<	ADP-ribosylation factor GTPase activating protein (ARF GAP)%2C involved in ER-Golgi transport%3B shares functional similarity with Gcs1p
chrV	404808	406382	+	YCK3	>YCK3>	Palmitoylated%2C vacuolar membrane-localized casein kinase I isoform%3B negatively regulates vacuole fusion during hypertonic stress via phosphorylation of Vps41p%3B shares essential functions with Hrr25p%3B regulates vesicle fusion in AP-3 pathway
chrV	407340	409061	-	DSE1	<DSE1<	Daughter cell-specific protein%2C may regulate cross-talk between the mating and filamentation pathways%3B deletion affects cell separation after division and sensitivity to alpha-factor and drugs affecting the cell wall
chrV	410186	412614	+	RSP5	>RSP5>	E3 ubiquitin ligase of the NEDD4 family%3B involved in regulating many cellular processes%2C including MVB sorting%2C heat shock response%2C transcription%2C and endocytosis%3B human homolog is involved in Liddle syndrome%3B mutant tolerates aneuploidy
chrV	413388	414173	-	NSA2	<NSA2<	Protein constituent of 66S pre-ribosomal particles%2C contributes to processing of the 27S pre-rRNA
chrV	414474	415547	+	LCP5	>LCP5>	Essential protein involved in maturation of 18S rRNA%3B depletion leads to inhibited pre-rRNA processing and reduced polysome levels%3B localizes primarily to the nucleolus
chrV	415852	416463	+	YER128W	>YER128W>	Putative protein of unknown function
chrV	417274	420702	+	SAK1	>SAK1>	Upstream serine%2Fthreonine kinase for the SNF1 complex%3B partially redundant with Elm1p and Tos3p%3B members of this family have functional orthology with LKB1%2C a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome
chrV	421066	422397	-	YER130C	<YER130C<	Protein of unknown function%3B transcription is regulated by Haa1p%2C Sok2p and Zap1p transcriptional activators%3B the C. Albicans homolog (MNL1) plays a role in adaptation to stress
chrV	423541	424260	+	RPS26B	>RPS26B>	Protein component of the small (40S) ribosomal subunit%3B nearly identical to Rps26Ap and has similarity to rat S26 ribosomal protein
chrV	425138	430399	-	PMD1	<PMD1<	Protein with an N-terminal kelch-like domain%2C putative negative regulator of early meiotic gene expression%3B required%2C with Mds3p%2C for growth under alkaline conditions
chrV	432445	433908	+	GLC7	>GLC7>	Type 1 serine%2Fthreonine protein phosphatase catalytic subunit%2C involved in many processes (eg%3A glycogen metabolism%2C sporulation%2C mitosis)%3B accumulates at mating projections by interaction with Afr1p%3B interacts with many regulatory subunits
chrV	437141	437482	+	YER133W-A	>YER133W-A>	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B partially overlaps uncharacterized gene YER134C.
chrV	437217	437753	-	YER134C	<YER134C<	Putative protein of unknown function%3B non-essential gene
chrV	437902	438294	-	YER135C	<YER135C<	Dubious open reading frame unlikely to encode a protein%3B YER135C is not an essential gene
chrV	439566	440921	+	GDI1	>GDI1>	GDP dissociation inhibitor%2C regulates vesicle traffic in secretory pathways by regulating the dissociation of GDP from the Sec4%2FYpt%2Frab family of GTP binding proteins
chrV	441323	441769	-	YER137C	<YER137C<	Putative protein of unknown function
chrV	441525	441830	+	YER137W-A	>YER137W-A>	Dubious open reading frame unlikely to encode a functional protein%2C based on available experimental and comparative sequence data
chrV	449424	449528	+	YER138W-A	>YER138W-A>	Putative protein of unknown function
chrV	450513	451193	-	RTR1	<RTR1<	CTD phosphatase%3B dephosphorylates S5-P in the C-terminal domain of Rpo21p%3B has a cysteine-rich motif required for function and conserved in eukaryotes%3B shuttles between the nucleus and cytoplasm
chrV	451515	453185	+	YER140W	>YER140W>	Putative protein of unknown function%3B the authentic%2C non-tagged protein is detected in highly purified mitochondria in high-throughput studies%3B genetic interactions suggest a role in folding of ER membrane proteins
chrV	453409	454869	+	COX15	>COX15>	Protein required for the hydroxylation of heme O to form heme A%2C which is an essential prosthetic group for cytochrome c oxidase
chrV	455096	455986	-	MAG1	<MAG1<	3-methyl-adenine DNA glycosylase involved in protecting DNA against alkylating agents%3B initiates base excision repair by removing damaged bases to create abasic sites that are subsequently repaired
chrV	456269	457555	+	DDI1	>DDI1>	DNA damage-inducible v-SNARE binding protein%2C contains a ubiquitin-associated (UBA) domain%2C may act as a negative regulator of constitutive exocytosis%2C may play a role in S-phase checkpoint control
chrV	457756	460173	-	UBP5	<UBP5<	Putative ubiquitin-specific protease%2C closest paralog of Doa4p but has no functional overlap%3B concentrates at the bud neck
chrV	460476	461690	-	FTR1	<FTR1<	High affinity iron permease involved in the transport of iron across the plasma membrane%3B forms complex with Fet3p%3B expression is regulated by iron
chrV	462336	462773	-	YER145C-A	<YER145C-A<	Dubious open reading frame unlikely to encode a protein%2C based on available experimental and comparative sequence data%3B overlaps the verified ORF LSM5%2FYER146W
chrV	462535	462816	+	LSM5	>LSM5>	Lsm (Like Sm) protein%3B part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p)%3A cytoplasmic Lsm1p complex involved in mRNA decay%3B nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA%2C snoRNA%2C and rRNA
chrV	462918	464792	-	SCC4	<SCC4<	Subunit of cohesin loading factor (Scc2p-Scc4p)%2C a complex required for the loading of cohesin complexes onto chromosomes%3B involved in establishing sister chromatid cohesion during double-strand break repair via phosphorylated histone H2AX
chrV	465153	465563	-	YER147C-A	<YER147C-A<	Dubious open reading frame unlikely to encode a functional protein%2C based on available experimental and comparative sequence data
chrV	465253	465975	+	SPT15	>SPT15>	TATA-binding protein%2C general transcription factor that interacts with other factors to form the preinitiation complex at promoters%2C essential for viability
chrV	466135	466713	+	YER148W-A	>YER148W-A>	Dubious open reading frame unlikely to encode a functional protein%2C based on available experimental and comparative sequence data
